User ID,Age,Gender,Height (cm),Weight (kg),Fitness Level
185,35,Male,199,103,Beginner
186,26,Female,157,75,Advanced
187,59,Female,179,69,Beginner
188,53,Male,180,105,Intermediate
189,36,Male,191,83,Advanced
190,45,Female,165,55,Intermediate
191,26,Male,195,85,Beginner
192,31,Female,160,77,Intermediate
193,41,Female,166,56,Intermediate
194,61,Female,150,90,Beginner
195,41,Male,171,92,Advanced
196,64,Female,152,75,Beginner
197,60,Male,187,97,Advanced
198,23,Male,180,94,Intermediate
199,46,Female,156,47,Advanced
200,47,Male,189,103,Beginner
201,43,Female,171,72,Advanced
202,36,Female,159,67,Beginner
203,46,Female,177,67,Advanced
204,46,Female,162,66,Beginner
205,38,Female,150,49,Beginner
206,31,Male,190,87,Beginner
207,50,Female,151,49,Advanced
208,33,Female,164,87,Advanced
209,40,Female,167,70,Advanced
210,24,Female,156,86,Intermediate
211,53,Female,180,70,Beginner
212,33,Male,163,110,Intermediate
213,32,Male,185,75,Intermediate
214,63,Female,156,66,Intermediate
215,18,Female,170,84,Advanced
216,26,Female,151,75,Intermediate
217,56,Male,185,86,Beginner
218,27,Male,162,96,Advanced
219,28,Female,158,82,Advanced
220,53,Male,193,98,Intermediate
221,35,Male,196,86,Beginner
222,40,Female,171,64,Advanced
223,55,Male,194,84,Intermediate
224,22,Female,163,70,Beginner
225,25,Male,167,96,Intermediate
226,42,Male,170,108,Advanced
227,52,Female,167,70,Advanced
228,50,Male,171,65,Beginner
229,51,Female,161,51,Advanced
230,62,Male,192,102,Advanced
231,45,Male,193,117,Beginner
232,31,Female,167,68,Intermediate
233,22,Female,171,78,Beginner
234,18,Male,197,101,Intermediate
235,20,Female,158,80,Advanced
236,38,Female,176,69,Advanced
237,29,Female,150,86,Advanced
238,37,Male,179,86,Beginner
239,35,Male,162,117,Advanced
240,49,Male,194,117,Beginner
241,35,Male,173,94,Intermediate
242,47,Female,158,53,Intermediate
243,31,Female,177,67,Beginner
244,20,Male,188,93,Intermediate
245,21,Female,164,85,Intermediate
246,62,Female,167,64,Intermediate
247,64,Female,161,89,Advanced
248,19,Female,164,90,Intermediate
249,29,Male,181,97,Advanced
250,54,Male,166,62,Advanced
